,airline_sentiment,text,processed_text,label,label_doc2vec
1373,neutral,@united In Ethiopia adopting a child.  Need flight home from ADD to GRR Late Flight 2/27 or very early 2/28. (need to change existing reservation),unite in ethiopia adopt a child need flight home from add to grr late flight or very early need to change exist reservation,0,1
6989,neutral,"@JetBlue CEO battles to appease passengers, investors - Toledo Blade http://t.co/R4xJXQRX1z",jetblue ceo battle to appease passenger investor toledo blade,0,1
9721,positive,"@USAirways - Janet &amp; my DEN-PHL  flight Cancelled Flightled Saturday, USAIR rescheduled automatically &amp; notified us by email at no additional cost.",usairways janet amp my denphl flight cancel flightled saturday usair reschedule automatically amp notify u by email at no additional cost,1,2
1779,negative,"@united - well, now finally on board hopefully we take off this time and quickly. Well over an hour delay!!",united well now finally on board hopefully we take off this time and quickly well over an hour delay,-1,0
4208,positive,@united looks like I'm settled in to where I'm going.  Thx.,united look like im settle in to where im go thx,1,2
13975,neutral,@AmericanAir thanks. Bummer. Poor planning on my part. I assume the card in Passbook won't work either?,americanair thanks bummer poor planning on my part i assume the card in passbook wont work either,0,1
6524,neutral,@SouthwestAir When do you all expect to open the reservation through November?,southwestair when do you all expect to open the reservation through november,0,1
10369,negative,@USAirways flight 837 passengers stuck on plane in Philly. Where is the gangway?  We can't hear the pilot,usairways flight passenger stick on plane in philly where be the gangway we cant hear the pilot,-1,0
2707,neutral,@united it's done.  If you do something to make up for it I'll tweet that too.,united it do if you do something to make up for it ill tweet that too,0,1
2711,negative,@united yes but taking two days to get bag delivered. Missed a full day skiing because of this.,united yes but take two day to get bag deliver miss a full day ski because of this,-1,0
767,negative,“@united: @Darquenloveli We regret to hear this. Please let us know if you need assistance. ^KN” I was finally able to secure my seat. Thx,united darquenloveli we regret to hear this please let u know if you need assistance kn i be finally able to secure my seat thx,-1,0
7139,positive,@JetBlue  hahah 😂👌👌👌 love flying jet blue tho!! http://t.co/7VeE44MACM,jetblue hahah love fly jet blue tho,1,2
6388,positive,"@SouthwestAir big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!",southwestair big thanks to your team family emerg same day ticket experience be excellent st time fly with yall not my last,1,2
11244,negative,@USAirways you're the only airline that's not open sooner. It's not a confidence booster.,usairways youre the only airline thats not open sooner it not a confidence booster,-1,0
12601,negative,@AmericanAir there are no more flights via united when I arrive to DFW and my car is parked at IAH 😁,americanair there be no more flight via united when i arrive to dfw and my car be park at iah,-1,0
13874,negative,"@AmericanAir its not that, it's the rude agent who wouldn't listen to anything I would say and it clearly fit into the sizer",americanair it not that it the rude agent who wouldnt listen to anything i would say and it clearly fit into the sizer,-1,0
13810,negative,@AmericanAir it's been 2 hrs of wait on the phone a) worst customer services b) trying to know where my suitcase Is and way MORE 😤#ANGRY,americanair it be hr of wait on the phone a bad customer service b try to know where my suitcase be and way more angry,-1,0
399,negative,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!,virginamerica i be in seat c and i can not even open my laptop and i pay extra for this seat,-1,0
13973,positive,@AmericanAir hats off to Admiral Lounge attendant @ YYZ Terminal 3 who gave her banana to our toddler when none avail elsewhere.,americanair hat off to admiral lounge attendant yyz terminal who give her banana to our toddler when none avail elsewhere,1,2
2563,neutral,@united we are trying to go as far away from King'sCollegeLondon as possible for #charity today. Would you help us ? #jailbreak #RAG,unite we be try to go a far away from kingscollegelondon a possible for charity today would you help u jailbreak rag,0,1
334,negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,virginamerica i request a mileage challenge for status several week ago online but havent hear back how do i get help with this,-1,0
1093,positive,@united that's brilliant Thankyou so much. Is it classed as part of carryon?,united thats brilliant thankyou so much be it class a part of carryon,1,2
13343,negative,@AmericanAir yes. Just sayin' that was a particularly poorly handled situation.,americanair yes just sayin that be a particularly poorly handle situation,-1,0
9306,negative,@USAirways why is it impossible to change / buy preferred seats via your app?,usairways why be it impossible to change buy preferred seat via your app,-1,0
14455,neutral,@AmericanAir hey guys. DMed you a question about when 500-mile upgrades post after earning. Hope to use tomorrow,americanair hey guy dmed you a question about when mile upgrade post after earn hope to use tomorrow,0,1
7203,neutral,@JetBlue ...and when did your legal department start running your social media channels?,jetblue and when do your legal department start run your social medium channel,0,1
13056,positive,@AmericanAir yes I have. Thanks,americanair yes i have thanks,1,2
9614,negative,@USAirways forced sections 4 and 5 to check their carry on. would have packed differently to check my bag. Why even allow it? #pissed,usairways force section and to check their carry on would have pack differently to check my bag why even allow it piss,-1,0
214,negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,virginamerica can t access your website from safari on iphone seem to work on mac and ipad need iphone to add passbook,-1,0
4245,neutral,@united Q: Just purchased ticket to #Hawaii for trip in Late Flight-March. Does this mean we will acquire miles based on price or distance flown?,united q just purchase ticket to hawaii for trip in late flightmarch do this mean we will acquire mile base on price or distance fly,0,1
2452,negative,@united #bullying in the #workforce not ok. Get gate agents 2 work as a team. 2 against 1 is never cool. #Delays #flights #UnitedAirlines,united bullying in the workforce not ok get gate agent work a a team against be never cool delay flight unitedairlines,-1,0
7132,negative,STOP. USING.THIS.WORD. IF. YOU'RE. A. COMPANY. RT @JetBlue: Our fleet's on fleek. http://t.co/Fd2TNYcTrB,stop usingthisword if youre a company rt jetblue our fleet on fleek,-1,0
1716,negative,"@united flight delayed...again...every time. ""Maintenance issues""",united flight delayedagainevery time maintenance issue,-1,0
11297,positive,@USAirways on Sunday! Can't wait! See you then,usairways on sunday cant wait see you then,1,2
12143,negative,@AmericanAir robocalls me with another Cancelled Flightation. And then when I don’t accept the change it won’t let me connect to an agent. Just wow.,americanair robocalls me with another cancel flightation and then when i don t accept the change it win t let me connect to an agent just wow,-1,0
6966,positive,"@JetBlue I would prefer a similar picture but full of E190 tails, but great shot!",jetblue i would prefer a similar picture but full of e tail but great shot,1,2
12851,negative,@AmericanAir it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!,americanair it be absolutely unacceptable i have be call all day and be hang up on every time i just need a minute bit of help,-1,0
14496,negative,@americanair Seattle check-in. 1 desk servicing full service line. 2 desks servicing priority. Full srvc wait 30+ minutes. Customer svc fail,americanair seattle checkin desk service full service line desk service priority full srvc wait minute customer svc fail,-1,0
11094,negative,@USAirways FUK U US AIRWAYS WITH YO SHITTY CHICKEN SALAD SANDWICH THAT SO OVERPRICED AND U FUKING MAKE ME WAIT IN A 6 HR LAYOVER FUK U AND,usairways fuk u u airways with yo shitty chicken salad sandwich that so overprice and u fuking make me wait in a hr layover fuk u and,-1,0
2381,negative,@united flight just Cancelled Flightled. This is ridiculous,united flight just cancel flightled this be ridiculous,-1,0
1659,negative,@united We waited 40 min for our bags after a 45 min flight #nomorecheckedbags,united we wait min for our bag after a min flight nomorecheckedbags,-1,0
10808,negative,"@USAirways &amp; also that I was told no comps, upgrades, etc. ReFlight Booking Problems is good enough. #usairwaysfail",usairways amp also that i be tell no comp upgrade etc reflight booking problem be good enough usairwaysfail,-1,0
13796,negative,"@AmericanAir You should really help @Cowboycerrone out, you are getting a TON of bad publicity right now #WillNeverFlyWithYou",americanair you should really help cowboycerrone out you be get a ton of bad publicity right now willneverflywithyou,-1,0
2829,neutral,@united need to add service dog to my itinerary for tomorrow,united need to add service dog to my itinerary for tomorrow,0,1
8973,negative,@USAirways is not the new @AmericanAir is more like the new @SpiritAirlines. Love AA. Not impressed with the subpar planes and gate agents.,usairways be not the new americanair be more like the new spiritairlines love aa not impress with the subpar plane and gate agent,-1,0
4038,neutral,@united reinstating the kosher meals that were dropped shortly after the merger?,united reinstate the kosher meal that be drop shortly after the merger,0,1
11766,negative,@USAirways charging $200 2 change a flight is a rip off the reason I have 2 is out of my hands &amp; I want 2 reschedule same flight but in July,usairways charge change a flight be a rip off the reason i have be out of my hand amp i want reschedule same flight but in july,-1,0
14235,negative,@AmericanAir flight 1019 I need 2 b on the first flight out frm MIA 2 TPA. I'm extremely irritated. I've been at this airport for 5.5 hrs.,americanair flight i need b on the first flight out frm mia tpa im extremely irritated ive be at this airport for hr,-1,0
12800,positive,@AmericanAir Lady at B1 ABQ for 5347 on 2/23 was of a great service to all among several Cancelled Flightlations,americanair lady at b abq for on be of a great service to all among several cancel flightlations,1,2
1086,positive,@united great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.,united great to hear thankyou so much greatly appreciate your reply feel much more settle now,1,2
1893,negative,@united two hour delay for a plane that was visible from the airport. So far terrible customer service. #neveragain,united two hour delay for a plane that be visible from the airport so far terrible customer service neveragain,-1,0
10046,negative,@USAirways @TheHaileyTate Another blatant lie from @USAirways,usairways thehaileytate another blatant lie from usairways,-1,0
11866,neutral,@USAirways You need to contact me ASAP. #Furious,usairways you need to contact me asap furious,0,1
10625,negative,@USAirways you've completely ruined a pro athlete's ability to prepare for a race. Now you won't help him get the bike he needs to the DR?!,usairways youve completely ruin a pro athletes ability to prepare for a race now you wont help him get the bike he need to the dr,-1,0
6366,negative,@SouthwestAir 75 minutes and still waiting for skis to be unloaded. You should be ashamed. It's 1:30 in the morning.,southwestair minute and still wait for ski to be unloaded you should be ashamed it in the morning,-1,0
8782,negative,@JetBlue #fail My wife on the phone asking to switch flight times. In mid switch gets disconnected. Now Cancelled Flightled! No new time! No call back,jetblue fail my wife on the phone ask to switch flight time in mid switch get disconnect now cancel flightled no new time no call back,-1,0
2025,neutral,@united need help. Never got tickets. Conf #ggqzqd,united need help never get ticket conf ggqzqd,0,1
6643,negative,@SouthwestAir Flight Cancelled Flightled out of BNA.... Do I have to reschedule now or can travel funds be put back into my account for future use?,southwestair flight cancel flightled out of bna do i have to reschedule now or can travel fund be put back into my account for future use,-1,0
7556,negative,@JetBlue it's sunny and gorgeous in ny actually. What's the real reason?,jetblue it sunny and gorgeous in ny actually whats the real reason,-1,0
5820,positive,@SouthwestAir Making Miracles again! The customer service department gave me by far one of the friendliest phone calls ever. #wheelsup,southwestair make miracle again the customer service department give me by far one of the friendly phone call ever wheelsup,1,2
13934,negative,"@AmericanAir yeah, rebooked for tomorrow morning. But extremely disappointed to miss a wedding.",americanair yeah rebooked for tomorrow morning but extremely disappointed to miss a wedding,-1,0
4411,negative,@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are,southwestair where your airline people screw up our boarding pass on the way back from puerto vallarta this be horrible and we be,-1,0
11525,negative,@USAirways so you're going to make me wait that long on the phone line when you can help me? # that's part of the problem,usairways so youre go to make me wait that long on the phone line when you can help me thats part of the problem,-1,0
14180,negative,@AmericanAir rude gate agent by AA363 ORD-LGA just now. Seems to have a temper. Made me check in a bag that fit INSIDE the sizer.,americanair rude gate agent by aa ordlga just now seem to have a temper make me check in a bag that fit inside the sizer,-1,0
5388,neutral,@SouthwestAir How can we get refund instead of credit for flight that you Cancelled Flightled? We couldn't switch to a flight tomorrow.,southwestair how can we get refund instead of credit for flight that you cancel flightled we couldnt switch to a flight tomorrow,0,1
7128,positive,@JetBlue sounds good!!!💙💙💙💙,jetblue sound good,1,2
9514,negative,@USAirways no you call me.,usairways no you call me,-1,0
9167,negative,@USAirways   My email gets me a canned response that it takes 10 days for mileage to get credited --- It's been three months and my miles,usairways my email get me a canned response that it take day for mileage to get credit it be three month and my mile,-1,0
4367,negative,@SouthwestAir 20 minutes on hold waiting is ridiculous......,southwestair minute on hold waiting be ridiculous,-1,0
688,negative,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher,united why do i have to pay for wifi with an international business ticket pennypincher,-1,0
11757,negative,@USAirways I had a rep 10 min in who said she couldn't help so transferred me to dividend miles customer service,usairways i have a rep min in who say she couldnt help so transfer me to dividend mile customer service,-1,0
13821,negative,"@AmericanAir Nope, I have not been rebooked.",americanair nope i have not be rebooked,-1,0
12395,neutral,@AmericanAir Good morning!  Wondering why my pre-TSA check was not on my boarding pass this morning??,americanair good morning wonder why my pretsa check be not on my boarding pas this morning,0,1
4436,negative,@SouthwestAir flight 1614 FLL to ATL. My wife traveling with infant. Line to check baggage 200 people long due to your computer system crash,southwestair flight fll to atl my wife travel with infant line to check baggage people long due to your computer system crash,-1,0
3920,negative,"@united @laurasbrown5 What does ""dealing via email"" have anything to do with a crappy web form that is not made for mobile devices",united laurasbrown what do deal via email have anything to do with a crappy web form that be not make for mobile device,-1,0
13756,negative,@AmericanAir Toby hates you lol,americanair toby hat you lol,-1,0
8485,negative,"@JetBlue I put it my ""to"" and ""from"" airports, click update and it tells me to put in my ""to"" and ""from"" airports.",jetblue i put it my to and from airport click update and it tell me to put in my to and from airport,-1,0
100,neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,virginamerica try to add my boy prince to my ressie sf this thursday virginamerica from lax,0,1
8724,negative,"@JetBlue That makes sense. It sucks, though, because now I'll be stuck in the airport for 5+ hours and Late Flight to my meeting.",jetblue that make sense it suck though because now ill be stick in the airport for hour and late flight to my meeting,-1,0
13193,negative,@AmericanAir literally just stopped allowing people to wait in line for customer service. Incredible. From worst to no customer service.,americanair literally just stop allow people to wait in line for customer service incredible from bad to no customer service,-1,0
13143,negative,@AmericanAir really,americanair really,-1,0
7084,positive,@JetBlue toss this ticket...it's great PR and I'm sure every college student following me will be willing to rock out wit too 👀👀,jetblue toss this ticketits great pr and im sure every college student follow me will be willing to rock out wit too,1,2
10931,positive,@USAirways I appreciate your prompt response.,usairways i appreciate your prompt response,1,2
11567,negative,"@USAirways I appreciate the hard work. Still, I gave up after &gt;hour. @dsearls",usairways i appreciate the hard work still i give up after gthour dsearls,-1,0
7031,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/dxn58rxDkS”@jameskraw see.,jetblue our fleet on fleek jameskraw see,0,1
8481,positive,@JetBlue I would go anywhere JetBlue goes.,jetblue i would go anywhere jetblue go,1,2
4275,neutral,"@united roundtrip tickets to NJ are DRAMATICALLY cheaper through Virgin, pretty pricey via United. Can you match them?",united roundtrip ticket to nj be dramatically cheap through virgin pretty pricey via united can you match them,0,1
11763,negative,"@usairways you made us miss our flight, first class now I can't even enter the admirals club.  Not happy  dm me to fix this.",usairways you make u miss our flight first class now i cant even enter the admiral club not happy dm me to fix this,-1,0
7794,neutral,"@JetBlue Thanks, it's for next weekend though so my guess is it will only go higher.",jetblue thank it for next weekend though so my guess be it will only go high,0,1
13632,negative,@AmericanAir me because it might not be so urgent for you but it really is for me. (5),americanair me because it might not be so urgent for you but it really be for me,-1,0
7070,neutral,No. RT @JetBlue Our fleet's on fleek.,no rt jetblue our fleet on fleek,0,1
13312,negative,@AmericanAir Please try it yourself - call 1-800-433-7300 and see what happens... then you'll understand.  #allrepresentativesbusy #nooption,americanair please try it yourself call and see what happen then youll understand allrepresentativesbusy nooption,-1,0
10531,negative,@USAirways now what? You Cancelled Flightled my flight again... Are you paying for my hotel?,usairways now what you cancel flightled my flight again be you pay for my hotel,-1,0
3838,negative,@united of course but they were just as helpless as everyone else .,united of course but they be just as helpless a everyone else,-1,0
296,neutral,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,virginamerica achieve a second year of profitability despite revenue pressure capaaviation,0,1
2440,negative,@united I interviewed yesterday as a flight attendant I was the last person the recruiter said they lost my file n came back to interview me,united i interview yesterday a a flight attendant i be the last person the recruiter say they lose my file n come back to interview me,-1,0
7422,negative,@JetBlue thanks for NOT! Sending me an update that our flight was delayed 3 hours. Unbelievable!,jetblue thanks for not send me an update that our flight be delay hour unbelievable,-1,0
9322,negative,@USAirways PLANS CHANGED! IS THAT WHAT U CALL NOT BEIN ABLE 2 PARK ON TIME PLANES W A 2 HR LAYOVER N B ABLE 2 MAKE UR CONNECTION! #seriously,usairways plan change be that what u call not bein able park on time plane w a hr layover n b able make ur connection seriously,-1,0
12443,negative,@AmericanAir re-staff and commence new policies because your industry is so embarrassed by you.,americanair restaff and commence new policy because your industry be so embarrassed by you,-1,0
1668,positive,"@united finally made it to rep, who solved my problem.",unite finally make it to rep who solve my problem,1,2
3917,neutral,@united it sucks not having the money to book a flight to see the love of my life. 2600 miles away.,united it suck not have the money to book a flight to see the love of my life mile away,0,1
5424,negative,@SouthwestAir On hold for two hours and it timed-out on me. Great system you got there.,southwestair on hold for two hour and it timedout on me great system you get there,-1,0
14342,negative,@AmericanAir u Cancelled Flightled my flight for tomorrow and tell me to call reservations but then refuse to take my call!!!  #not cool #hateful,americanair u cancel flightled my flight for tomorrow and tell me to call reservation but then refuse to take my call not cool hateful,-1,0
8960,neutral,@JetBlue really caring??,jetblue really care,0,1
1806,neutral,@united Name correct on original confirmation but spelled wrong on check-in reminder. First name and MI run together. Cause for concern?,united name correct on original confirmation but spell wrong on checkin reminder first name and mi run together cause for concern,0,1
2965,negative,@united I hope you have a solution or insurance to cover this issue,united i hope you have a solution or insurance to cover this issue,-1,0
13629,negative,@AmericanAir Got it worked out. Had to postpone my trip and pay extra though. :/ Not easy for a poor graduate student.,americanair get it work out have to postpone my trip and pay extra though not easy for a poor graduate student,-1,0
2408,negative,@united. DAY to IAD and CVG to IAD both Cancelled Flightled by United but all other airlines operating. Friend stuck and now miss intl flight. Help?,united day to iad and cvg to iad both cancel flightled by united but all other airline operate friend stuck and now miss intl flight help,-1,0
8897,negative,"@JetBlue hard to tell, but was told wifi only worked for one side of the plane.",jetblue hard to tell but be tell wifi only work for one side of the plane,-1,0
14126,negative,@AmericanAir we need a miracle @slcairport please help flight 1228 get out of here by 640 #FingersCrossed #pleasegod #missmykids,americanair we need a miracle slcairport please help flight get out of here by fingerscrossed pleasegod missmykids,-1,0
11088,positive,"@USAirways - love the changes in the lounge - cheese, veggies, olives in addition to the crackers and snack mix,",usairways love the change in the lounge cheese veggie olives in addition to the cracker and snack mix,1,2
9670,positive,@USAirways Thank you. I'll do that next time!,usairways thank you ill do that next time,1,2
4895,neutral,@SouthwestAir Tell me the secrets to flying high #RedCarpet,southwestair tell me the secret to fly high redcarpet,0,1
10815,negative,"@USAirways fight was delayed 3 hrs in MCO, now I'm stuck in Philly with a standby ticket, flight 4009. Solution needed.",usairways fight be delay hr in mco now im stick in philly with a standby ticket flight solution need,-1,0
9497,negative,"@USAirways I listed my baggage claim number.  Have them call me, my number is on the ticket.  I had to use Lady Speed Stick this morning.",usairways i list my baggage claim number have them call me my number be on the ticket i have to use lady speed stick this morning,-1,0
4244,positive,"@united doing a good thing, holding flight for a few for 11 peeps on Late Flight connecting flight. We'll still make destination on time",united do a good thing hold flight for a few for peep on late flight connect flight well still make destination on time,1,2
13915,negative,@AmericanAir no you're not you're trying to book me PAST when i need 2 arrive but you're still selling seats on the day I'm trying 2 travel,americanair no youre not youre try to book me past when i need arrive but youre still sell seat on the day im try travel,-1,0
5709,positive,@SouthwestAir sure thing,southwestair sure thing,1,2
5618,neutral,"@SouthwestAir I have a credit that expires a month before my flight, is there any possible way I can have that extended?",southwestair i have a credit that expire a month before my flight be there any possible way i can have that extend,0,1
10316,negative,@USAirways @_RobPrice  how can he try again it will be 5-6 hours before he gets help.  Contingency plans non existent.,usairways robprice how can he try again it will be hour before he get help contingency plan non existent,-1,0
10301,neutral,@USAirways download jeokoo the American app for air travelers,usairways download jeokoo the american app for air traveler,0,1
7786,negative,@JetBlue hopefully this flight Seattle to Boston 2pm will have wifi. Our first one did not and we had to entertain ourselves! #lizaapproved,jetblue hopefully this flight seattle to boston pm will have wifi our first one do not and we have to entertain ourselves lizaapproved,-1,0
9910,negative,@USAirways made it to the Bahamas for work but my luggage didn't. I know #travel happens but is there anyway I can get more help/info?,usairways make it to the bahamas for work but my luggage didnt i know travel happens but be there anyway i can get more helpinfo,-1,0
9867,negative,"@USAirways stuck on the ramp at DCA, US Air computer system crashed...everywhere.",usairways stick on the ramp at dca u air computer system crashedeverywhere,-1,0
5431,negative,@SouthwestAir Anyone answering phone this morning at 800IFLYSWA? On hold 51 minutes and counting...,southwestair anyone answer phone this morning at iflyswa on hold minute and count,-1,0
6811,positive,"@eatgregeat WOW~Thx for thinking of us, Greg! Heard #SOBEWFF was amazing! We've heard the same about @JetBlue (ps thx for the info) #TeamNKH",eatgregeat wowthx for thinking of u greg heard sobewff be amaze weve hear the same about jetblue p thx for the info teamnkh,1,2
12017,negative,@AmericanAir It is now going to be reported to the police due to the sexual assult sad that you didn't care,americanair it be now go to be report to the police due to the sexual assult sad that you didnt care,-1,0
12471,negative,"@AmericanAir when you strand someone in a city without luggage you would think AA would want to earn your business, but guess not?",americanair when you strand someone in a city without luggage you would think aa would want to earn your business but guess not,-1,0
11357,negative,"@USAirways after 3 Cancelled Flightlations and a delay, causing me to miss connecting flight. Another night not being home. Thanks #pathetic",usairways after cancelled flightlations and a delay cause me to miss connect flight another night not be home thanks pathetic,-1,0
6616,negative,@SouthwestAir I understand a delay but to be stuck on the plane longer than the flight is unacceptable,southwestair i understand a delay but to be stick on the plane long than the flight be unacceptable,-1,0
8297,negative,@JetBlue I can't do that flight. I need a Late Flightr one! I need you to change my flight. You guys changed it and now I can't do that time!,jetblue i cant do that flight i need a late flightr one i need you to change my flight you guy change it and now i cant do that time,-1,0
7854,positive,@JetBlue ok thank you for the quick response JetBlue still the best comp,jetblue ok thank you for the quick response jetblue still the best comp,1,2
5579,negative,"@SouthwestAir doesn't care nor does SNA agent Jacquie Plitt, rude gal bad attitude! had 2 fly @USAirways 2 CABO thx http://t.co/VbUxfPCKfa",southwestair doesnt care nor do sna agent jacquie plitt rude gal bad attitude have fly usairways cabo thx,-1,0
521,positive,@united follow me please this airline is beautifull ♥,united follow me please this airline be beautifull,1,2
6626,negative,"@SouthwestAir also, they said they couldn't even book the flight. They were having to put me on hold &amp; have someone else do it???",southwestair also they say they couldnt even book the flight they be have to put me on hold amp have someone else do it,-1,0
5829,positive,"@SouthwestAir Sorry to spam, it would just be so awesome to see @Imaginedragons in Vegas. Your help would be absolutely amazing.",southwestair sorry to spam it would just be so awesome to see imaginedragons in vega your help would be absolutely amazing,1,2
9730,neutral,@USAirways follow/dm please,usairways followdm please,0,1
7989,negative,@JetBlue maybe announce the delay so we don't sit on the plane on the runway for an hour+ before taking off,jetblue maybe announce the delay so we dont sit on the plane on the runway for an hour before take off,-1,0
2781,negative,@united also doesn't help me. I'm a very frequent flier and united premiere gold. Apparently that means nothing.,unite also doesnt help me im a very frequent flier and united premiere gold apparently that mean nothing,-1,0
9386,negative,@USAirways I find it funny that @PHLAirport responds but you don't. Your customer service is the worst. #wedontcarebecauseyoupaidalready,usairways i find it funny that phlairport responds but you dont your customer service be the bad wedontcarebecauseyoupaidalready,-1,0
6082,negative,"@SouthwestAir humor aside, we've been stuck on the plane for two hours at the gate because bags can't be loaded correctly. What gives?",southwestair humor aside weve be stick on the plane for two hour at the gate because bag cant be load correctly what give,-1,0
7773,negative,"@JetBlue we tried. They're not at all helpful. Terrible customer service, at this airport, at least.",jetblue we try theyre not at all helpful terrible customer service at this airport at least,-1,0
286,neutral,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,virginamerica they tell to check with the airline regulation first so that be why i contact you,0,1
12803,negative,"@AmericanAir Really?They closed the gate at 10:30 instead of40.I got there at 10:39. If u wudda put in my ktn like I asked, I wudda made it.",americanair reallythey close the gate at instead ofi get there at if u wudda put in my ktn like i ask i wudda make it,-1,0
2564,negative,"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service.",united friend stuck in bus on runway at pek with two small kid no customer service no explanation kid cry awful service,-1,0
12560,negative,Why doesn't @AmericanAir allow for conversations between upset customers and their customer service?  #worstcustomerserviceever,why doesnt americanair allow for conversation between upset customer and their customer service worstcustomerserviceever,-1,0
4235,neutral,@united What is the policy behind changing passengers' seating assignments at the gate?,united what be the policy behind change passenger seat assignment at the gate,0,1
751,negative,@united 32 people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing,united people get pretty tire about no action on solve the problem plus miss a day of vacation and skiing,-1,0
3862,negative,"@united thanks for reaching out. The seat was hard, not enough cushion. OK for short flight. BTW, UA6465 flight and crew were great!",united thanks for reach out the seat be hard not enough cushion ok for short flight btw ua flight and crew be great,-1,0
14604,negative,@AmericanAir Has AA Flight 296 from San Antonio to Dallas been Cancelled Flighted?,americanair have aa flight from san antonio to dallas be cancel flight,-1,0
11803,neutral,@USAirways what is the baggage allowance on flights from Glasgow to the US?  Thanks,usairways what be the baggage allowance on flight from glasgow to the u thanks,0,1
4350,positive,"@SouthwestAir never mind, I moved my flight to tomorrow. Thanks for the help!",southwestair never mind i move my flight to tomorrow thanks for the help,1,2
14047,neutral,@AmericanAir Educate Bohol is a 501(c)(3) w/all volunteer staff. I can help the kids or buy a plane ticket--I can't do both. Can you help?,americanair educate bohol be a c wall volunteer staff i can help the kid or buy a plane ticketi cant do both can you help,0,1
3054,negative,@United is the worst major US airline.  More proof: they're boarding the plane with the outside galley door open in 0 degree weather.  Wtf?,unite be the bad major u airline more proof theyre board the plane with the outside galley door open in degree weather wtf,-1,0
14268,neutral,@AmericanAir what name and department does it come under? Thanks,americanair what name and department do it come under thanks,0,1
3045,negative,@united I need assistance with pulling your agents' heads out of their asses,united i need assistance with pull your agent head out of their ass,-1,0
4257,negative,@united Not fast enough.  No excuse for service between big hubs to have such outdated craft. Southwest has wifi. This is awful.,united not fast enough no excuse for service between big hub to have such outdated craft southwest have wifi this be awful,-1,0
1648,positive,@united look at this beauty 😉 dc-10 united airlines 😉 Hope you like this beauty 😉 http://t.co/NS1aCFqCdQ,united look at this beauty dc unite airline hope you like this beauty,1,2
355,negative,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",virginamerica what happen to direct flight from sfofll look in may only see connect help dontdothistome,-1,0
5229,negative,@SouthwestAir has the absolute worst customer service when trying to reach them by phone.,southwestair have the absolute bad customer service when try to reach them by phone,-1,0
13083,negative,@AmericanAir @maxfitgirl29 next time fly Southwest...,americanair maxfitgirl next time fly southwest,-1,0
5640,negative,"@SouthwestAir understood. Just frustrating, you buy early bird check on the day they go on sale at 6:30am and get mid 'b'. Feel ripped off.",southwestair understood just frustrate you buy early bird check on the day they go on sale at be and get mid b feel rip off,-1,0
1480,negative,@united Why is my time less important to you?  #StrandUsInDenver #HourAndTenMinuteDelay #FlightFail,united why be my time less important to you strandusindenver hourandtenminutedelay flightfail,-1,0
10509,negative,@USAirways you guys straight up suck ass,usairways you guy straight up suck as,-1,0
1215,negative,@united I am trying to make/change reservations and getting extremely frustrated!!! Giving up and trying another airline!!!,united i be try to makechange reservation and get extremely frustrate give up and try another airline,-1,0
1203,negative,@united Please msg me a # for customer service. I will have an invoice for my dry cleaning but won't be able take wet clothes to the airport,united please msg me a for customer service i will have an invoice for my dry cleaning but wont be able take wet clothes to the airport,-1,0
6358,positive,"@SouthwestAir I love and appreciate the fact that you guys rarely Cancelled Flight flights and are on time, but I need a Cancelled Flightlation this time. 🙏",southwestair i love and appreciate the fact that you guy rarely cancelled flight flight and be on time but i need a cancelled flightlation this time,1,2
8798,neutral,@JetBlue knew that ... has to be done at the Gate correct? If so what time does gate open,jetblue know that have to be do at the gate correct if so what time do gate open,0,1
11060,negative,"@USAirways flight 500 out of Seattle has 10,000lbs too much fuel and no water for the lavoratories. Nice job guys - est 40min behind now",usairways flight out of seattle have lbs too much fuel and no water for the lavoratories nice job guy est min behind now,-1,0
7091,neutral,@JetBlue with 3 kids and 11 days 340 + doesn't work and it's months in advance,jetblue with kid and day doesnt work and it month in advance,0,1
5389,negative,@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA,southwestair be on hold for hr cant get airport flight icy country backroads help pls can a human answer bna,-1,0
